	Price	Baths	Land size	Beds	House size	Seller_type	town	district
13265	10500000	1	15.0	3	1350.0	Premium-Member	 Gampaha City	  Gampaha
13266	55000000	4	11.0	4	3300.0	Premium-Member	 Talawatugoda	  Colombo
13267	27000000	4	7.0	4	2900.0	Premium-Member	 Kottawa	  Colombo
13268	60000000	4	15.0	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
13269	65000000	4	10.0	5	4000.0	Premium-Member	 Talawatugoda	  Colombo
13270	40000000	2	7.0	3	3300.0	Premium-Member	 Talawatugoda	  Colombo
13271	115000000	4	22.0	5	4800.0	Premium-Member	 Talawatugoda	  Colombo
13272	40000000	3	9.9	4	3750.0	Premium-Member	 Kadawatha	  Gampaha
13273	25500000	5	7.0	4	2500.0	Premium-Member	 Piliyandala	  Colombo
13274	13000000	2	10.0	4	2000.0	Premium-Member	 Kadawatha	  Gampaha
13275	28000000	3	10.3	3	1825.0	Premium-Member	 Kadawatha	  Gampaha
13276	12000000	1	7.0	3	1200.0	Premium-Member	 Kadawatha	  Gampaha
13277	21500000	4	9.5	4	2300.0	Premium-Member	 Piliyandala	  Colombo
13278	95000000	4	10.0	4	3200.0	Premium-Member	 Kotte	  Colombo
13279	12000000	1	6.87	3	1300.0	Premium-Member	 Kadawatha	  Gampaha
13280	28000000	3	7.5	4	2100.0	Member	 Moratuwa	  Colombo
13281	65000000	4	12.5	5	4000.0	Premium-Member	 Talawatugoda	  Colombo
13282	31000000	3	15.0	4	3100.0	Premium-Member	 Negombo	  Gampaha
13283	55000000	2	11.0	4	3300.0	Premium-Member	 Talawatugoda	  Colombo
13284	60000000	6	24.5	7	4000.0	Premium-Member	 Kadawatha	  Gampaha
13285	115000000	4	22.0	5	4500.0	Premium-Member	 Talawatugoda	  Colombo
13286	7000000	1	3.66	2	465.58	Premium-Member	 Kolonnawa	  Colombo
13287	49500000	4	10.0	4	4200.0	Premium-Member	 Talawatugoda	  Colombo
13288	60000000	4	15.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
13289	27000000	3	7.0	4	2400.0	Premium-Member	 Kottawa	  Colombo
13290	33500000	4	16.2	6	3600.0	Premium-Member	 Kottawa	  Colombo
13291	33000000	4	8.0	4	3000.0	Premium-Member	 Kottawa	  Colombo
13292	26500000	3	10.5	4	3500.0	Premium-Member	 Negombo	  Gampaha
13293	23500000	2	12.8	4	2800.0	Premium-Member	 Kadawatha	  Gampaha
13294	34500000	2	12.0	4	2300.0	Premium-Member	 Kadawatha	  Gampaha
13295	21000000	2	12.5	3	2300.0	Premium-Member	 Kadawatha	  Gampaha
13296	19000000	2	10.0	3	1600.0	Premium-Member	 Negombo	  Gampaha
13297	40000000	2	13.5	3	2924.0	Premium-Member	 Gampaha City	  Gampaha
13298	26500000	3	10.5	4	3150.0	Premium-Member	 Negombo	  Gampaha
13299	27000000	5	18.0	4	2500.0	Premium-Member	 Kiribathgoda	  Gampaha
13300	31000000	3	15.0	4	3150.0	Premium-Member	 Negombo	  Gampaha
13301	24500000	2	11.2	3	1850.0	Premium-Member	 Talawatugoda	  Colombo
13302	100000000	4	10.0	4	4500.0	Premium-Member	 Kotte	  Colombo
13303	26500000	2	14.15	5	3250.0	Premium-Member	 Kadawatha	  Gampaha
13304	37000000	3	11.0	4	2380.0	Premium-Member	 Kadawatha	  Gampaha
13305	150000000	3	52.0	5	5200.0	Premium-Member	 Kiribathgoda	  Gampaha
13306	28000000	3	19.5	5	2950.0	Premium-Member	 Malabe	  Colombo
13307	15500000	2	16.0	4	2700.0	Member	 Horana	  Kalutara
13308	39500000	3	19.7	5	2350.0	Premium-Member	 Kadawatha	  Gampaha
13309	16000000	2	16.3	5	1850.0	Premium-Member	 Boralesgamuwa	  Colombo
13310	52000000	4	13.0	4	3550.0	Premium-Member	 Kotte	  Colombo
13311	12500000	4	4.5	6	2700.0	Member	 Wellampitiya	  Colombo
13312	19000000	2	10.0	3	1610.0	Premium-Member	 Negombo	  Gampaha
13313	19000000	2	10.0	3	1600.0	Premium-Member	 Negombo	  Gampaha
