	Price	Baths	Land size	Beds	House size	Seller_type	town	district
0	5400000	1	50.0	3	1600.0	Member	 Matara City	  Matara
1	16800000	3	8.0	3	1480.0	Premium-Member	 Athurugiriya	  Colombo
2	20000000	2	20.0	3	2800.0	Member	 Kelaniya	  Gampaha
3	187000000	5	22.0	5	4000.0	Premium-Member	 Colombo 6	  Colombo
4	1300000	1	6.3	2	900.0	Member	 Dehiwala	  Colombo
5	55000000	4	11.0	4	3300.0	Premium-Member	 Talawatugoda	  Colombo
6	45000000	4	10.0	4	4100.0	Member	 Kandy City	  Kandy
7	16700000	3	9.0	3	1400.0	Member	 Piliyandala	  Colombo
8	50000000	4	10.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
9	16000000	1	3000.0	3	2000.0	Premium-Member	 Kadawatha	  Gampaha
10	19500000	2	10.0	4	5000.0	Premium-Member	 Gampaha City	  Gampaha
11	11500000	1	9.85	3	1800.0	Premium-Member	 Katugastota	  Kandy
12	26500000	3	10.5	4	3100.0	Premium-Member	 Negombo	  Gampaha
13	19000000	2	11.4	4	1900.0	Premium-Member	 Malabe	  Colombo
14	11000000	1	80.0	3	1100.0	Member	 Jaffna City	  Jaffna
15	16500000	2	7.5	3	1250.0	Premium-Member	 Malabe	  Colombo
16	6500000	1	3.0	2	950.0	Premium-Member	 Rajagiriya	  Colombo
18	55000000	5	11.0	4	3000.0	Premium-Member	 Battaramulla	  Colombo
19	50000000	3	20.5	4	2900.0	Premium-Member	 Battaramulla	  Colombo
20	13500000	2	15.0	3	1400.0	Member	 Moratuwa	  Colombo
21	24500000	2	7.42	4	2900.0	Member	 Moratuwa	  Colombo
22	32500000	2	21.5	4	2880.0	Member	 Piliyandala	  Colombo
23	27000000	5	11.2	9	3085.0	Premium-Member	 Nugegoda	  Colombo
24	32500000	4	7.5	5	2042.0	Premium-Member	 Dehiwala	  Colombo
25	33000000	3	8.0	4	3200.0	Member	 Kottawa	  Colombo
26	28500000	3	10.2	5	2800.0	Premium-Member	 Homagama	  Colombo
27	17000000	3	10.3	5	2600.0	Premium-Member	 Minuwangoda	  Gampaha
28	31000000	4	12.5	4	2882.0	Member	 Negombo	  Gampaha
29	4500000	1	150.0	3	750.0	Member	 Elpitiya	  Galle
30	14800000	1	6.8	3	1800.0	Premium-Member	 Malabe	  Colombo
31	27000000	4	7.0	4	2700.0	Member	 Kottawa	  Colombo
33	39500000	4	12.0	4	4200.0	Premium-Member	 Battaramulla	  Colombo
34	32500000	6	11.0	8	4000.0	Premium-Member	 Karapitiya	  Galle
35	35000000	5	10.0	6	2000.0	Member	 Dehiwala	  Colombo
36	65000000	5	27.5	6	5000.0	Premium-Member	 Talawatugoda	  Colombo
37	36440000	2	9.11	4	1650.0	Premium-Member	 Colombo 9	  Colombo
38	40000000	4	12.1	6	3000.0	Premium-Member	 Ratmalana	  Colombo
39	49500000	4	10.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
40	25500000	3	6.8	4	2500.0	Premium-Member	 Piliyandala	  Colombo
41	29500000	4	10.0	7	5000.0	Premium-Member	 Kandy City	  Kandy
42	85000000	5	15.5	5	3200.0	Premium-Member	 Dehiwala	  Colombo
43	28000000	4	10.0	4	2800.0	Premium-Member	 Athurugiriya	  Colombo
44	47000000	3	14.0	3	2800.0	Premium-Member	 Nugegoda	  Colombo
45	8400000	1	15.0	3	3000.0	Member	 Kalutara City	  Kalutara
46	75000000	2	10.4	3	5400.0	Premium-Member	 Boralesgamuwa	  Colombo
47	18500000	1	1.5	2	600.0	Premium-Member	 Kandy City	  Kandy
48	29500000	4	13.0	6	3800.0	Premium-Member	 Kottawa	  Colombo
49	65000000	7	26.0	8	6000.0	Premium-Member	 Moratuwa	  Colombo
50	39000000	5	13.98	5	4300.0	Premium-Member	 Piliyandala	  Colombo
51	25000000	3	10.0	3	2200.0	Premium-Member	 Athurugiriya	  Colombo
52	20500000	3	6.5	3	2000.0	Premium-Member	 Athurugiriya	  Colombo
53	14500000	3	6.0	3	1200.0	Premium-Member	 Athurugiriya	  Colombo
54	21200000	3	6.25	4	2290.0	Premium-Member	 Battaramulla	  Colombo
55	17800000	3	6.5	3	1800.0	Premium-Member	 Piliyandala	  Colombo
56	16000000	1	20.0	5	4000.0	Premium-Member	 Baddegama	  Galle
57	19800000	2	8.0	4	1800.0	Premium-Member	 Kotte	  Colombo
58	25500000	3	13.5	5	2089.0	Member	 Kandana	  Gampaha
59	27500000	4	11.5	4	2800.0	Premium-Member	 Malabe	  Colombo
60	36000000	4	10.0	4	3600.0	Premium-Member	 Malabe	  Colombo
61	3900000	1	13.0	2	600.0	Premium-Member	 Homagama	  Colombo
62	25000000	2	23.0	3	2200.0	Premium-Member	 Piliyandala	  Colombo
63	7500000	1	10.3	3	1800.0	Member	 Matara City	  Matara
64	24800000	3	6.5	4	2800.0	Premium-Member	 Piliyandala	  Colombo
65	34000000	4	8.5	4	3500.0	Premium-Member	 Piliyandala	  Colombo
66	15000000	2	13.8	3	2500.0	Member	 Kurunegala City	  Kurunegala
67	70000000	2	20.0	4	4900.0	Premium-Member	 Kadawatha	  Gampaha
68	4000000	1	90.0	3	3500.0	Premium-Member	 Nittambuwa	  Gampaha
69	89000000	1	15.0	3	1500.0	Premium-Member	 Homagama	  Colombo
70	12500000	2	10.0	3	1540.0	Premium-Member	 Homagama	  Colombo
71	19000000	3	11.4	4	1900.0	Premium-Member	 Malabe	  Colombo
72	79500000	1	7.0	3	1100.0	Premium-Member	 Homagama	  Colombo
73	12000000	1	20.0	3	1650.0	Premium-Member	 Homagama	  Colombo
74	14200000	2	7.86	3	1100.0	Premium-Member	 Malabe	  Colombo
75	7500000	1	11.6	3	3158.0	Member	 Homagama	  Colombo
76	5500000	1	15.0	2	4000.0	Premium-Member	 Nittambuwa	  Gampaha
77	36400000	1	280.0	3	3500.0	Premium-Member	 Nittambuwa	  Gampaha
78	24500000	3	15.0	6	3500.0	Member	 Kurunegala City	  Kurunegala
79	49000000	2	31.0	4	1900.0	Premium-Member	 Ragama	  Gampaha
80	16800000	2	12.05	4	2750.0	Premium-Member	 Ja-Ela	  Gampaha
81	21000000	3	10.6	3	1795.0	Premium-Member	 Piliyandala	  Colombo
82	28000000	5	112.0	5	2900.0	Member	 Chilaw	  Puttalam
83	16500000	2	7.4	3	1300.0	Member	 Kottawa	  Colombo
84	16000000	2	22.0	3	2500.0	Member	 Gampaha City	  Gampaha
85	65000000	3	20.0	5	3000.0	Premium-Member	 Homagama	  Colombo
86	12000000	1	10.5	3	1300.0	Premium-Member	 Homagama	  Colombo
87	7800000	1	11.5	2	1200.0	Member	 Padukka	  Colombo
88	36000000	4	8.5	4	2900.0	Premium-Member	 Piliyandala	  Colombo
89	27500000	5	7.5	5	2300.0	Premium-Member	 Piliyandala	  Colombo
90	13000000	2	15.0	4	5000.0	Premium-Member	 Nittambuwa	  Gampaha
91	35500000	5	8.0	4	4500.0	Premium-Member	 Malabe	  Colombo
92	22500000	3	10.0	5	3514.0	Premium-Member	 Piliyandala	  Colombo
93	5750000	1	7.0	2	3500.0	Premium-Member	 Kadawatha	  Gampaha
94	11000000	1	7.5	2	1200.0	Premium-Member	 Gampaha City	  Gampaha
95	7500000	1	20.0	3	850.0	Member	 Horana	  Kalutara
96	70000000	4	20.0	5	5450.0	Member	 Nugegoda	  Colombo
97	24500000	3	10.0	5	3000.0	Premium-Member	 Homagama	  Colombo
98	20500000	3	6.5	3	1900.0	Premium-Member	 Homagama	  Colombo
99	24500000	2	7.42	4	1600.0	Member	 Moratuwa	  Colombo
100	29800000	4	6.0	5	3800.0	Premium-Member	 Homagama	  Colombo
101	28000000	3	15.0	4	4000.0	Premium-Member	 Homagama	  Colombo
102	12900000	2	13.5	2	4000.0	Premium-Member	 Nittambuwa	  Gampaha
103	29500000	3	16.5	3	1200.0	Premium-Member	 Malabe	  Colombo
104	35000000	4	8.0	5	3600.0	Premium-Member	 Malabe	  Colombo
105	26500000	2	7.0	3	1250.0	Premium-Member	 Malabe	  Colombo
106	15500000	1	6.8	3	2000.0	Premium-Member	 Malabe	  Colombo
107	16000000	2	10.5	3	1400.0	Premium-Member	 Malabe	  Colombo
108	17000000	2	7.5	3	1300.0	Premium-Member	 Malabe	  Colombo
109	32000000	2	6.0	6	2000.0	Member	 Wellampitiya	  Colombo
110	1600000	1	40.0	1	1200.0	Member	 Monaragala City	  Monaragala
111	120000000	2	20.0	3	3000.0	Premium-Member	 Colombo 5	  Colombo
112	1450000	3	26.0	4	1800.0	Premium-Member	 Kaduwela	  Colombo
113	220000000	3	10.1	4	2750.0	Premium-Member	 Colombo 3	  Colombo
114	45000000	3	7.0	5	3500.0	Member	 Kohuwala	  Colombo
115	70000000	6	17.0	5	7240.0	Premium-Member	 Talawatugoda	  Colombo
116	25500000	3	7.5	4	2550.0	Premium-Member	 Piliyandala	  Colombo
117	33500000	4	16.2	6	3600.0	Premium-Member	 Kottawa	  Colombo
118	14500000	2	6.8	2	900.0	Premium-Member	 Pannipitiya	  Colombo
119	27000000	3	7.0	4	2400.0	Premium-Member	 Kottawa	  Colombo
120	24800000	3	6.0	4	2400.0	Premium-Member	 Piliyandala	  Colombo
121	65000	2	12.0	3	1800.0	Member	 Nugegoda	  Colombo
122	28500000	4	15.0	4	3000.0	Premium-Member	 Piliyandala	  Colombo
123	21500000	4	9.5	4	2300.0	Premium-Member	 Piliyandala	  Colombo
124	36000000	3	10.0	4	3500.0	Member	 Kandana	  Gampaha
125	27000000	3	7.5	5	2700.0	Premium-Member	 Piliyandala	  Colombo
126	41000000	3	6.0	4	1644.0	Premium-Member	 Kolonnawa	  Colombo
127	26000000	3	7.0	4	2400.0	Premium-Member	 Piliyandala	  Colombo
128	16500000	3	24.8	4	3000.0	Premium-Member	 Matugama	  Kalutara
129	40000000	2	7.0	3	3300.0	Premium-Member	 Talawatugoda	  Colombo
130	16000000	2	17.0	4	2000.0	Premium-Member	 Athurugiriya	  Colombo
131	22000000	2	15.4	4	3000.0	Premium-Member	 Piliyandala	  Colombo
132	30500000	4	8.0	4	3500.0	Premium-Member	 Piliyandala	  Colombo
133	21500000	2	9.3	3	2000.0	Premium-Member	 Piliyandala	  Colombo
134	13500000	2	10.0	4	2400.0	Premium-Member	 Ganemulla	  Gampaha
135	40000000	3	7.8	6	3000.0	Premium-Member	 Colombo 6	  Colombo
136	45000000	3	9.9	5	2650.0	Premium-Member	 Rajagiriya	  Colombo
137	45000000	3	9.33	5	3100.0	Member	 Kotte	  Colombo
138	18500000	2	10.0	3	1200.0	Premium-Member	 Piliyandala	  Colombo
139	24800000	3	6.5	4	2800.0	Premium-Member	 Piliyandala	  Colombo
140	40000000	4	10.0	4	3100.0	Premium-Member	 Piliyandala	  Colombo
141	26500000	3	10.5	4	3152.0	Premium-Member	 Negombo	  Gampaha
142	27500000	2	126.0	5	5500.0	Premium-Member	 Dikwella	  Matara
143	23500000	3	7.0	5	3250.0	Premium-Member	 Piliyandala	  Colombo
144	10500000	1	6.0	2	1600.0	Member	 Angoda	  Colombo
145	12000000	2	10.0	3	1325.0	Premium-Member	 Horana	  Kalutara
146	14000000	3	12.0	3	1200.0	Premium-Member	 Piliyandala	  Colombo
147	19500000	3	6.5	4	2000.0	Premium-Member	 Piliyandala	  Colombo
148	21000000	2	10.0	5	2419.0	Member	 Delgoda	  Gampaha
149	8000000	2	10.05	4	2400.0	Premium-Member	 Kadawatha	  Gampaha
150	23800000	2	6.5	3	1356.0	Premium-Member	 Piliyandala	  Colombo
151	30500000	4	8.0	5	3700.0	Premium-Member	 Piliyandala	  Colombo
152	25500000	5	7.0	4	2500.0	Premium-Member	 Piliyandala	  Colombo
153	46500000	4	28.0	4	3850.0	Premium-Member	 Piliyandala	  Colombo
154	33000000	4	10.0	4	3850.0	Premium-Member	 Piliyandala	  Colombo
155	12000000	1	10.0	3	1500.0	Premium-Member	 Karapitiya	  Galle
156	9900000	1	10.0	3	1425.0	Premium-Member	 Negombo	  Gampaha
157	3990000	1	45.0	3	2500.0	Member	 Kandy City	  Kandy
158	49500000	4	10.0	4	4200.0	Premium-Member	 Talawatugoda	  Colombo
159	40000000	2	7.0	3	3300.0	Premium-Member	 Talawatugoda	  Colombo
160	13000000	1	10.0	3	1500.0	Premium-Member	 Karapitiya	  Galle
161	13800000	1	23.0	2	1000.0	Premium-Member	 Karapitiya	  Galle
162	110000000	3	50.0	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
163	4800000	1	10.5	1	800.0	Member	 Homagama	  Colombo
164	20000000	2	7.0	4	1700.0	Premium-Member	 Angoda	  Colombo
165	47500000	4	14.8	5	3800.0	Premium-Member	 Talawatugoda	  Colombo
166	44000000	4	7.7	4	3300.0	Premium-Member	 Talawatugoda	  Colombo
167	9500000	2	7.0	4	1544.0	Member	 Matara City	  Matara
168	60000000	4	15.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
169	23500000	2	149.0	4	2500.0	Premium-Member	 Negombo	  Gampaha
170	42500000	5	13.5	8	5000.0	Premium-Member	 Nugegoda	  Colombo
171	63000000	6	12.0	6	4000.0	Premium-Member	 Nugegoda	  Colombo
172	15400000	3	8.0	3	1300.0	Member	 Athurugiriya	  Colombo
173	5500000	2	20.0	3	4500.0	Premium-Member	 Negombo	  Gampaha
174	68000000	4	11.0	5	5000.0	Premium-Member	 Nugegoda	  Colombo
175	4600000	1	22.0	3	1820.0	Member	 Gampaha City	  Gampaha
176	47500000	4	7.0	4	3800.0	Premium-Member	 Nugegoda	  Colombo
177	15500000	5	27.0	6	7100.0	Premium-Member	 Nugegoda	  Colombo
178	26500000	3	6.5	4	2800.0	Premium-Member	 Malabe	  Colombo
179	36000000	4	10.0	4	3200.0	Premium-Member	 Malabe	  Colombo
180	65000000	4	12.5	5	4000.0	Premium-Member	 Malabe	  Colombo
181	135000000	5	62.0	5	5600.0	Premium-Member	 Malabe	  Colombo
182	45000000	3	10.0	4	3200.0	Premium-Member	 Malabe	  Colombo
183	37500000	3	9.0	5	3100.0	Premium-Member	 Malabe	  Colombo
184	48000000	3	10.12	4	2675.0	Premium-Member	 Malabe	  Colombo
185	29500000	4	11.0	5	2850.0	Premium-Member	 Athurugiriya	  Colombo
186	27000000	4	7.0	4	3250.0	Premium-Member	 Piliyandala	  Colombo
187	18500000	3	7.5	3	1500.0	Premium-Member	 Malabe	  Colombo
188	95000000	4	10.0	4	3200.0	Premium-Member	 Kotte	  Colombo
189	26500000	3	6.5	4	2200.0	Premium-Member	 Malabe	  Colombo
190	8700000	2	10.0	3	1400.0	Member	 Homagama	  Colombo
191	25000000	4	10.0	4	2380.0	Premium-Member	 Kottawa	  Colombo
192	60000000	4	13.0	4	3500.0	Premium-Member	 Kotte	  Colombo
193	80000000	4	16.0	4	4900.0	Premium-Member	 Kotte	  Colombo
194	33000000	4	8.0	4	3000.0	Premium-Member	 Kottawa	  Colombo
195	15000000	3	10.0	3	1400.0	Premium-Member	 Athurugiriya	  Colombo
196	33000000	4	8.0	4	3000.0	Premium-Member	 Kottawa	  Colombo
197	6800000	2	3.5	2	1000.0	Premium-Member	 Wellampitiya	  Colombo
198	9000000	2	15.0	4	1850.0	Premium-Member	 Gampaha City	  Gampaha
199	8700000	2	10.0	3	1200.0	Premium-Member	 Wadduwa	  Kalutara
200	29500000	3	8.0	4	4000.0	Premium-Member	 Kottawa	  Colombo
201	30000000	2	8.8	2	1250.0	Premium-Member	 Ratmalana	  Colombo
202	55000000	2	11.0	4	3300.0	Premium-Member	 Battaramulla	  Colombo
203	65000000	3	10.0	5	4000.0	Premium-Member	 Battaramulla	  Colombo
204	14000000	2	10.0	3	1350.0	Premium-Member	 Malabe	  Colombo
205	85000000	4	16.0	4	3500.0	Premium-Member	 Battaramulla	  Colombo
206	50000000	7	18.0	10	5000.0	Premium-Member	 Karapitiya	  Galle
207	115000000	4	22.0	5	4800.0	Premium-Member	 Talawatugoda	  Colombo
208	45000000	4	7.0	4	3800.0	Premium-Member	 Battaramulla	  Colombo
209	115000000	4	22.0	5	4500.0	Premium-Member	 Battaramulla	  Colombo
210	85000000	4	12.0	4	5500.0	Premium-Member	 Talawatugoda	  Colombo
211	12000000	2	11.0	4	1700.0	Member	 Ruwanwella	  Kegalle
212	13500000	2	12.5	3	1450.0	Member	 Kandana	  Gampaha
213	170000000	7	24.0	6	1400.0	Premium-Member	 Talawatugoda	  Colombo
214	18500000	1	20.0	4	2344.0	Premium-Member	 Kadawatha	  Gampaha
215	75000000	4	14.0	5	4000.0	Premium-Member	 Battaramulla	  Colombo
216	18000000	3	8.0	3	1400.0	Premium-Member	 Athurugiriya	  Colombo
217	12000000	3	12.0	3	1825.0	Member	 Homagama	  Colombo
218	21500000	4	12.0	4	2500.0	Premium-Member	 Piliyandala	  Colombo
219	24800000	4	6.5	4	2500.0	Premium-Member	 Piliyandala	  Colombo
220	7500000	1	5.25	3	1200.0	Premium-Member	 Kadawatha	  Gampaha
221	13500000	3	16.5	5	3000.0	Member	 Matara City	  Matara
222	8000000	1	7.0	3	1200.0	Member	 Kadawatha	  Gampaha
223	17000000	5	26.0	5	10000.0	Premium-Member	 Colombo 7	  Colombo
224	6500000	1	10.0	3	1500.0	Premium-Member	 Karapitiya	  Galle
225	8500000	2	18.9	4	4500.0	Member	 Kalutara City	  Kalutara
226	28000000	2	10.5	4	2000.0	Premium-Member	 Battaramulla	  Colombo
227	50000000	4	10.0	5	3800.0	Premium-Member	 Talawatugoda	  Colombo
228	5500000	1	6.0	4	1541.0	Premium-Member	 Yatiyantota	  Kegalle
229	12800000	2	6.5	3	1500.0	Premium-Member	 Piliyandala	  Colombo
230	29500000	4	8.0	4	3200.0	Premium-Member	 Piliyandala	  Colombo
231	150000000	4	6.64	4	4000.0	Member	 Colombo 4	  Colombo
232	47000000	4	11.7	5	3050.0	Premium-Member	 Battaramulla	  Colombo
233	28000000	4	10.0	4	2800.0	Premium-Member	 Malabe	  Colombo
234	29000000	4	10.5	4	2600.0	Premium-Member	 Malabe	  Colombo
235	16000000	2	16.75	5	2800.0	Premium-Member	 Nittambuwa	  Gampaha
236	110000000	3	50.2	4	3000.0	Premium-Member	 Talawatugoda	  Colombo
237	29500000	4	7.5	5	2250.0	Premium-Member	 Piliyandala	  Colombo
238	49500000	5	14.0	6	4000.0	Premium-Member	 Piliyandala	  Colombo
